"Index","MXX.Open","MXX.High","MXX.Low","MXX.Close","MXX.Volume","MXX.Adjusted"
"2012-10-24",42041.21875,42175.21875,41981.769531,42095.160156,176972000,42095.160156
"2012-10-25",42096.148438,42266.871094,41794.859375,41877.269531,185341600,41877.269531
"2012-10-26",41877.96875,42023.359375,41738.800781,41836.921875,129823400,41836.921875
"2012-10-29",41836.921875,41876.769531,41681.488281,41817.109375,79486000,41817.109375
"2012-10-30",41817.308594,42020.148438,41427.128906,41599,76184000,41599
"2012-10-31",41583.351563,41863.230469,41430.75,41619.960938,275833600,41619.960938
"2012-11-05",41770.851563,41871.359375,41638.199219,41722.140625,178651600,41722.140625
"2012-11-06",41722.488281,41835.421875,41549.230469,41720.621094,209251600,41720.621094
"2012-11-07",41717.011719,41752.511719,40950.328125,41010.980469,225520400,41010.980469
"2012-11-08",41026.140625,41179.539063,40597.078125,40830.648438,260992400,40830.648438
"2012-11-09",40802.949219,40877,40425.140625,40677.070313,232963600,40677.070313
"2012-11-12",40696.488281,40864.378906,40568.839844,40859.898438,100396400,40859.898438
"2012-11-13",40860.230469,41127.308594,40603.558594,41078.5,235631800,41078.5
"2012-11-14",41069.539063,41124.140625,40722.738281,40750.421875,166499400,40750.421875
"2012-11-15",40749.28125,40835.328125,40494.410156,40573.660156,195823000,40573.660156
"2012-11-16",40595.679688,40830.601563,40247.621094,40830.601563,188164400,40830.601563
"2012-11-20",40843.21875,41221.449219,40843.21875,41184,240599000,41184
"2012-11-21",41183.640625,41668.058594,41082.640625,41668.058594,263733200,41668.058594
"2012-11-22",41678.359375,42093.671875,41678.359375,42032.351563,92391200,42032.351563
"2012-11-23",42033.769531,42049.671875,41841.808594,41919.550781,107970800,41919.550781
"2012-11-26",41919.550781,42138.769531,41774.371094,41878.269531,189190200,41878.269531
"2012-11-27",41877.75,42017.25,41737.699219,41769.378906,265033200,41769.378906
"2012-11-28",41768.53125,41921.449219,41540.289063,41912.949219,230226000,41912.949219
"2012-11-29",41914.488281,42161.101563,41914.488281,42090.691406,252501200,42090.691406
"2012-11-30",42065.230469,42206.140625,41743.46875,41833.519531,813537200,41833.519531
"2012-12-03",41822.539063,42326.550781,41820.320313,42323.839844,218535600,42323.839844
"2012-12-04",42317.828125,42376.101563,42152.039063,42337.820313,220397000,42337.820313
"2012-12-05",42347.199219,42591.140625,42297.238281,42416.289063,224407800,42416.289063
"2012-12-06",42416.980469,42673.960938,42284.140625,42589.679688,208010200,42589.679688
"2012-12-07",42588.300781,42809.160156,42577.429688,42797.671875,170844000,42797.671875
"2012-12-10",42796.808594,43173.960938,42670.011719,43134.511719,226577000,43134.511719
"2012-12-11",43135.171875,43373.570313,42972.738281,43183.28125,279997600,43183.28125
"2012-12-13",43182.351563,43271.390625,42954.46875,43006.308594,229433600,43006.308594
"2012-12-14",43006.308594,43142.558594,42896.839844,43050.921875,154811800,43050.921875
"2012-12-17",43049.929688,43430.410156,43030.738281,43338.328125,270197600,43338.328125
"2012-12-18",43209.691406,44000.179688,43205.929688,43825.96875,261224800,43825.96875
"2012-12-19",43825.910156,43866.851563,43591.46875,43647.988281,254592400,43647.988281
"2012-12-20",43646.101563,43809.519531,43511.109375,43637.679688,230490000,43637.679688
"2012-12-21",43637.621094,43913.03125,43302.601563,43621.621094,435131200,43621.621094
"2012-12-24",NA,NA,NA,NA,NA,NA
"2012-12-26",43483.871094,43683.488281,43434.828125,43495.738281,78832800,43495.738281
"2012-12-27",43511.410156,43733.851563,43330.929688,43469.890625,129127200,43469.890625
